master_pos_x,master_pos_y,master_pos_theta,master_vel_x,master_vel_y,master_vel_theta,copy_1_pos_x,copy_1_pos_y,copy_1_pos_theta,copy_1_vel_x,copy_1_vel_y,copy_1_vel_theta,copy_2_pos_x,copy_2_pos_y,copy_2_pos_theta,copy_2_vel_x,copy_2_vel_y,copy_2_vel_theta,time
184.7,185.68,51.57,-0.0681113700604914,-0.04215803455100711,0.19089849517726856,740.94,312.87,78.67,0.09656295502530002,0.13507778417400998,0.12260541384366894,220.67,529.17,93.66,0.018105554067643154,0.025811041563764743,-0.10134386562600269,7927055
184.7,185.69,51.56,0.016561129909805204,0.10624198789165318,0.22412569499848126,740.94,312.87,78.68,-0.02050425608089406,-0.06374519273513804,-0.1435935382512309,220.67,529.17,93.65,-0.07570802244837274,0.0,0.1437722294822501,7927056
184.7,185.69,51.57,0.05180106777575485,-0.054366616289216296,-0.27179633120967367,740.94,312.88,78.67,0.028579899462941975,0.12299332865388564,0.16317251925639084,220.67,529.17,93.65,0.05358731149136124,0.03921526420790964,0.1181762839661088,7927057
184.7,185.69,51.58,-0.12658550144645986,0.0690164661073767,-0.21069198422048144,740.94,312.87,78.67,-0.01844292074005002,-0.13468667931152314,0.048868626440583,220.67,529.16,93.66,0.07293336838379005,-0.20077517412857335,-0.15173752152136336,7927058
184.7,185.69,51.58,0.0,0.0,-0.0,740.94,312.87,78.67,0.0,0.0,-0.0,220.67,529.16,93.66,0.0,0.0,-0.0,7927059
184.7,185.69,51.58,0.21089195189428928,-0.022388443598401805,-0.08363612492730836,740.94,312.87,78.67,0.011965500816893827,0.0007462814535110204,-0.1449121829565721,220.68,529.17,93.66,0.029913752042234572,0.2149290585418858,-0.1996231747253671,7927060
184.7,185.69,51.58,0.0,0.0,-0.0,740.94,312.87,78.67,0.0,0.0,-0.0,220.68,529.17,93.66,0.0,0.0,-0.0,7927061
184.7,185.69,51.58,-0.10060075831243095,-0.03272644771009639,0.04125761006602386,740.94,312.87,78.67,0.0008863502939284777,-0.0318419491238697,0.02446157960153509,220.68,529.17,93.65,0.014181604695464773,-0.07960487280967425,0.16107194243618767,7927062
184.7,185.69,51.57,0.021263984431583775,0.08487824426269988,0.10013238128440123,740.94,312.87,78.67,0.012150848245654345,0.013944282986043128,0.02311254103978324,220.67,529.17,93.65,-0.058324071583418825,0.0957911613840474,-0.007448020872077239,7927063
184.7,185.69,51.58,0.08782165297484265,-0.0645210234287408,-0.15724652036888792,740.94,312.87,78.67,-0.004149054470687394,-0.013801288433215205,-0.00847671100812997,220.67,529.17,93.65,-0.052554689968874316,-0.1393930131836744,-0.025823901021887315,7927064
